district_id,name,frl_percent,ia_bandwidth_per_student_kbps
1075448,Achievement First Iluminar,0.440993789,0.00E+00
959607,GEORGE HANAFORD SCHOOL,0.101083032,200.080032
959625,CUNNINGHAM SCHOOL,0.819047619,216.4736443
959632,WARWICK NECK SCHOOL,0.292418773,104.7778709
959618,NARRAGANSETT PIER SCHOOL,0.234567901,379.0750569
959606,NORTH CUMBERLAND MIDDLE,0.114630468,225.2759631
959601,WASHINGTON OAK SCHOOL,0.217241379,106.2699256
959604,EDEN PARK SCHOOL,0.509915014,96.30200308
959634,STATE STREET SCHOOL,0.451612903,367.9175865
959627,West Broadway Middle School,0.954716981,441.5011038
959636,WOONSOCKET MIDDLE SCHOOL,0.753499222,126.560918
959604,GLEN HILLS SCHOOL,0.217791411,96.30200308
959629,VINCENT J. GALLAGHER MIDDLE,0.152136752,420.1680672
959606,JOHN J. MCLAUGHLIN CUMBERLAND,0.167630058,225.2759631
959632,SHERMAN SCHOOL,0.336088154,104.7778709
959632,SCOTT SCHOOL,0.342307692,104.7778709
959632,WYMAN SCHOOL,0.343971631,104.7778709
959595,MT. HOPE HIGH SCHOOL,0.340517241,313.283208
959632,FRANCIS SCHOOL,0.281632653,104.7778709
959623,DR. EDWARD RICCI SCHOOL,0.523148148,136.6493577
959598,VETERANS MEMORIAL ELEMENTARY,0.864811133,397.4562798
959609,EXETER-WEST GREENWICH REG. JR.,0.110687023,462.3921085
959592,INTERNATIONAL CHARTER SCHOOL,0.618461538,0.00E+00
959590,PAUL CUFFEE CHARTER SCHOOL,0.621309371,0.00E+00
1073402,SHEILA SKIP NOWELL LEADERSHIP,,0.00E+00
1073402,SHEILA SKIP NOWELL LEADERSHIP,,0.00E+00
1075448,ACHIEVEMENT FIRST RHODE ISLAND,,0.00E+00
959580,SEGUE INST FOR LEARNING,0.915401302,0.00E+00
959632,PARK SCHOOL,0.724137931,104.7778709
959632,ROBERTSON SCHOOL,0.217898833,104.7778709
959587,SOWAMS ELEMENTARY SCHOOL,0.293650794,300.3003003
959595,KICKEMUIT MIDDLE SCHOOL,0.649202734,313.283208
959596,AUSTIN T. LEVY SCHOOL,0.606854839,422.6542688
959601,BLACKROCK SCHOOL,,106.2699256
959604,EDGEWOOD HIGHLAND,0.227929374,96.30200308
959604,HUGH B. BAIN MIDDLE SCHOOL,0.625,96.30200308
959592,INTERNATIONAL CHARTER SCHOOL,,0.00E+00
959612,WEST GLOCESTER ELEMENTARY,0.333333333,365.630713
959614,BROWN AVENUE SCHOOL,0.632653061,488.28125
959614,JOHNSTON SENIOR HIGH,0.80952381,488.28125
959614,SARAH DYER BARNES SCHOOL,0.481595092,488.28125
959614,THORNTON SCHOOL,0.814606742,488.28125
959622,FOREST PARK EL. SCHOOL,0.086111111,0.00E+00
959623,JOSEPH A. WHELAN SCHOOL,,136.6493577
959593,The Compass School,1,0.00E+00
959578,Founders Academy,0.452380952,0.00E+00
959627,Evolutions High School,0.728395062,441.5011038
959627,360 High School,0.697368421,441.5011038
959578,BEACON CHARTER SCHOOL,0.944086022,0.00E+00
959627,West Broadway Middle School,0.187096774,441.5011038
1086810,SouthSide Elementary Charter,,0.00E+00
1086809,The Hope Academy,0.42,0.00E+00
959581,BLACKSTONE VALLEY PREP E. 2,0.965770171,2875.399361
959587,NAYATT SCHOOL,0.966329966,300.3003003
959587,PRIMROSE HILL SCHOOL,0.955465587,300.3003003
959601,WASHINGTON OAK SCHOOL,0.350824588,106.2699256
959601,HOPKINS HILL SCHOOL,0.597560976,106.2699256
959601,WESTERN COVENTRY SCHOOL,0.461756374,106.2699256
959604,GLEN HILLS SCHOOL,0.992084433,96.30200308
959609,EXETER-WEST GREENWICH REG. JR.,0.967391304,462.3921085
959609,EXETER-WEST GREENWICH REGIONAL,0.682713348,462.3921085
959613,JAMESTOWN SCHOOL-LAWN,,1018.329939
959613,JAMESTOWN SCHOOL-MELROSE,0.341404358,1018.329939
