district_id,district_name,school_id,school_name,frl_percent,county_name,num_students,locale,size,upgrade_indicator,num_schools,num_teachers,fiber_target,pct_c2_spent,hierarchy_ia_connect_category,ia_bandwidth_per_student_kbps
959587,Barrington Public Schools,959776,HAMPDEN MEADOWS SCHOOL,0.565371025,Bristol County,3330,Suburban,Medium,FALSE,6,131.9,FALSE,0.00E+00,Fiber,300.3003003
959587,Barrington Public Schools,959768,BARRINGTON MIDDLE SCHOOL,0.848765432,Bristol County,3330,Suburban,Medium,FALSE,6,131.9,FALSE,0.00E+00,Fiber,300.3003003
959587,Barrington Public Schools,959760,BARRINGTON HIGH SCHOOL,0.76340694,Bristol County,3330,Suburban,Medium,FALSE,6,131.9,FALSE,0.00E+00,Fiber,300.3003003
959587,Barrington Public Schools,959785,SOWAMS ELEMENTARY SCHOOL,0.293650794,Bristol County,3330,Suburban,Medium,FALSE,6,131.9,FALSE,0.00E+00,Fiber,300.3003003
959587,Barrington Public Schools,959784,NAYATT SCHOOL,0.966329966,Bristol County,3330,Suburban,Medium,FALSE,6,131.9,FALSE,0.00E+00,Fiber,300.3003003
959587,Barrington Public Schools,959794,PRIMROSE HILL SCHOOL,0.955465587,Bristol County,3330,Suburban,Medium,FALSE,6,131.9,FALSE,0.00E+00,Fiber,300.3003003
959595,Bristol Warren Reg School District,959816,GUITERAS SCHOOL,0.29118774,Bristol County,3192,Suburban,Medium,FALSE,6,289.75,FALSE,0.900355851,Fiber,313.283208
959595,Bristol Warren Reg School District,959836,KICKEMUIT MIDDLE SCHOOL,0.649202734,Bristol County,3192,Suburban,Medium,FALSE,6,289.75,FALSE,0.900355851,Fiber,313.283208
959595,Bristol Warren Reg School District,959844,COLT ANDREWS SCHOOL,0.359950094,Bristol County,3192,Suburban,Medium,FALSE,6,289.75,FALSE,0.900355851,Fiber,313.283208
959595,Bristol Warren Reg School District,959817,ROCKWELL SCHOOL,0.211981567,Bristol County,3192,Suburban,Medium,FALSE,6,289.75,FALSE,0.900355851,Fiber,313.283208
959595,Bristol Warren Reg School District,959827,HUGH COLE SCHOOL,0.467532468,Bristol County,3192,Suburban,Medium,FALSE,6,289.75,FALSE,0.900355851,Fiber,313.283208
959595,Bristol Warren Reg School District,959808,MT. HOPE HIGH SCHOOL,0.428661219,Bristol County,3192,Suburban,Medium,FALSE,6,289.75,FALSE,0.900355851,Fiber,313.283208
959596,Burrillville School Department,959877,WILLIAM CALLAHAN SCHOOL,0.666666667,Providence County,2366,Suburban,Small,FALSE,5,176.86,FALSE,0.00E+00,Fiber,422.6542688
959596,Burrillville School Department,959861,BURRILLVILLE HIGH SCHOOL,0.419811321,Providence County,2366,Suburban,Small,FALSE,5,176.86,FALSE,0.00E+00,Fiber,422.6542688
959596,Burrillville School Department,959894,BURRILLVILLE MIDDLE SCHOOL,0.868105516,Providence County,2366,Suburban,Small,FALSE,5,176.86,FALSE,0.00E+00,Fiber,422.6542688
959596,Burrillville School Department,959886,STEERE FARM ELEMENTARY SCHOOL,0.451219512,Providence County,2366,Suburban,Small,FALSE,5,176.86,FALSE,0.00E+00,Fiber,422.6542688
